row.name,subject,AI playing games,Apple smartphone,Art&literature,Baidu-Alibaba,Challenges to humanity,China R&D,Consumer services,Culture industry,Data governance,Driverless cars,Emulating human mind,Expert systems,"Facial recognition, security",FB-bots,Innovation,Google deepmind,Health,Humanoid robots,Markets & investments,MS investment,Threats to humanity,Universities,US-R&D,War technologies,Work automation,exx,exy,exz,grp,rexx,rexy,rexz,rgrp
,US,0.008182601,0.011197244,0.188199828,0.009474591,0.065891473,0.01205857,0.024978467,0.403100775,0.017657192,0.011197244,0.020241171,0.012919897,0.011197244,0.010766581,0.010335917,0.010766581,0.021963824,0.031438415,0.007751938,0.010766581,0.015934539,0.011197244,0.01335056,0.048664944,0.010766581,,,,,,,,
,US,0.018822101,0.012750455,0.0667881,0.012750455,0.041287189,0.012143291,0.018214936,0.041287189,0.015786278,0.015179114,0.346690953,0.034608379,0.019429265,0.015179114,0.038858531,0.017607772,0.015786278,0.084395871,0.011536126,0.012143291,0.016393443,0.080752884,0.012750455,0.014571949,0.024286582,,,,,,,,
,US,0.152222222,0.022222222,0.021111111,0.025555556,0.126666667,0.021111111,0.037777778,0.023333333,0.021111111,0.036666667,0.032222222,0.078888889,0.031111111,0.02,0.024444444,0.041111111,0.037777778,0.028888889,0.038888889,0.022222222,0.027777778,0.04,0.046666667,0.022222222,0.02,,,,,,,,
,US,0.019247594,0.017497813,0.018372703,0.051618548,0.028871391,0.019247594,0.028871391,0.016622922,0.055993001,0.026246719,0.021872266,0.101487314,0.031496063,0.034120735,0.019247594,0.05511811,0.017497813,0.018372703,0.046369204,0.209973753,0.0279965,0.052493438,0.02712161,0.020122485,0.034120735,,,,,,,,
,US,0.025089606,0.038599393,0.045216432,0.099255583,0.042735043,0.007719879,0.041907913,0.020953956,0.027846705,0.018472567,0.016542597,0.025089606,0.073890267,0.064791839,0.038323683,0.138130687,0.007719879,0.011579818,0.007444169,0.162944582,0.014336918,0.010201268,0.027295285,0.016542597,0.017369727,,,,,,,,
,US,0.041343669,0.021533161,0.06287683,0.009905254,0.052971576,0.016365202,0.02411714,0.045650301,0.021533161,0.023686477,0.03875969,0.019379845,0.01464255,0.009905254,0.034453058,0.009474591,0.021102498,0.224375538,0.008613264,0.010766581,0.122308355,0.017226529,0.01335056,0.108096469,0.027562446,,,,,,,,
,US,0.014292301,0.015675426,0.028584601,0.031350853,0.048870447,0.031350853,0.014292301,0.02120793,0.174734901,0.01659751,0.009681881,0.014753343,0.032272937,0.019824804,0.030428769,0.056247118,0.031811895,0.012448133,0.015214385,0.011065007,0.020285846,0.017519594,0.169663439,0.100968188,0.060857538,,,,,,,,
,US,0.014675052,0.080013976,0.01572327,0.035988819,0.106918239,0.018169113,0.018867925,0.010831586,0.011879804,0.031097135,0.01397624,0.031795947,0.021313767,0.024807827,0.080013976,0.025157233,0.025506639,0.011879804,0.031795947,0.151292802,0.05870021,0.01397624,0.126834382,0.0174703,0.021313767,,,,,,,,
,US,0.038888889,0.075,0.034722222,0.069444444,0.031944444,0.020833333,0.036805556,0.022222222,0.01875,0.050694444,0.016666667,0.0375,0.024305556,0.052777778,0.027083333,0.146527778,0.034027778,0.018055556,0.016666667,0.082638889,0.015277778,0.034722222,0.028472222,0.013194444,0.052777778,,,,,,,,
,CN,0.015605493,0.026841448,0.013732834,0.04556804,0.017478152,0.019350811,0.039325843,0.012484395,0.069912609,0.014981273,0.019350811,0.02184769,0.017478152,0.112359551,0.046816479,0.056179775,0.030586767,0.013732834,0.29525593,0.031835206,0.015605493,0.018726592,0.016853933,0.013108614,0.014981273,,,,,,,,
,CN,0.013661202,0.019125683,0.011384335,0.045537341,0.021857923,0.035063752,0.037795993,0.010928962,0.069672131,0.009562842,0.017759563,0.013661202,0.017304189,0.118397086,0.075136612,0.054644809,0.026411658,0.012750455,0.279143898,0.04417122,0.014116576,0.017759563,0.015027322,0.009107468,0.010018215,,,,,,,,
,CN,0.018229167,0.017361111,0.035590278,0.035590278,0.018229167,0.372395833,0.024305556,0.015625,0.032118056,0.016493056,0.0390625,0.021701389,0.045138889,0.026041667,0.030381944,0.015625,0.022569444,0.036458333,0.021701389,0.029513889,0.024305556,0.030381944,0.030381944,0.024305556,0.016493056,,,,,,,,
,CN,0.014245014,0.015954416,0.011396011,0.192592593,0.017094017,0.071794872,0.021082621,0.021652422,0.039316239,0.271225071,0.015954416,0.014814815,0.049002849,0.014814815,0.017094017,0.016524217,0.014245014,0.010826211,0.02962963,0.047863248,0.015384615,0.027920228,0.017094017,0.018233618,0.014245014,,,,,,,,
,CN,0.008581752,0.067299006,0.112917796,0.021228546,0.035230352,0.136856369,0.10704607,0.018066847,0.032520325,0.018066847,0.019421861,0.037488708,0.014905149,0.035682023,0.014453478,0.032971996,0.01535682,0.081752484,0.010840108,0.064137308,0.009485095,0.012646793,0.013550136,0.013098464,0.066395664,,,,,,,,
,CN,0.02130898,0.047945205,0.014459665,0.242009132,0.02435312,0.04109589,0.023592085,0.015981735,0.01674277,0.02739726,0.01674277,0.023592085,0.060882801,0.023592085,0.049467275,0.038812785,0.017503805,0.04718417,0.03500761,0.058599696,0.014459665,0.014459665,0.090563166,0.01826484,0.015981735,,,,,,,,
,CN,0.013961606,0.354275742,0.011634671,0.073298429,0.041303083,0.119837115,0.057009889,0.02617801,0.011634671,0.018615474,0.011634671,0.010471204,0.028504945,0.018615474,0.012216405,0.017452007,0.013961606,0.012216405,0.025014543,0.031413613,0.013379872,0.013961606,0.021524142,0.015706806,0.02617801,,,,,,,,
,CN,0.182023487,0.020776874,0.176603433,0.016711834,0.065943993,0.036585366,0.019421861,0.028906956,0.01897019,0.013098464,0.051038844,0.098915989,0.012646793,0.078590786,0.016260163,0.008581752,0.014905149,0.024841915,0.012646793,0.013098464,0.030261969,0.015808491,0.01129178,0.013098464,0.01897019,,,,,,,,
,CN,0.026365348,0.029190207,0.018832392,0.027306968,0.020715631,0.206214689,0.017890772,0.016949153,0.033898305,0.047080979,0.024482109,0.02354049,0.043314501,0.024482109,0.04519774,0.024482109,0.020715631,0.041431262,0.027306968,0.043314501,0.028248588,0.017890772,0.148775895,0.018832392,0.02354049,,,,,,,,
,CN,0.025985663,0.018817204,0.062724014,0.017921147,0.036738351,0.230286738,0.032258065,0.027777778,0.027777778,0.025089606,0.024193548,0.031362007,0.063620072,0.019713262,0.016129032,0.021505376,0.023297491,0.024193548,0.023297491,0.021505376,0.028673835,0.024193548,0.094982079,0.043010753,0.034946237,,,,,,,,
,CN,0.013888889,0.027046784,0.027046784,0.28874269,0.015350877,0.089912281,0.024122807,0.013888889,0.013888889,0.015350877,0.016812865,0.01754386,0.195175439,0.013888889,0.015350877,0.021929825,0.020467836,0.013157895,0.030701754,0.035818713,0.018274854,0.019736842,0.019736842,0.015350877,0.016812865,,,,,,,,
,CN,0.019157088,0.034482759,0.013409962,0.197318008,0.053639847,0.140485313,0.079821201,0.01660281,0.017879949,0.022988506,0.014048531,0.019157088,0.03192848,0.014687101,0.024904215,0.021072797,0.021711367,0.028097063,0.059386973,0.037037037,0.011494253,0.030651341,0.034482759,0.01532567,0.040229885,,,,,,,,
,CN,0.011060835,0.013071895,0.089492207,0.071895425,0.022624434,0.225238813,0.011060835,0.010055304,0.024635495,0.0231272,0.009552539,0.013071895,0.010558069,0.031171443,0.011060835,0.013574661,0.012066365,0.010055304,0.05982906,0.043237808,0.014580191,0.211664153,0.0231272,0.010558069,0.023629965,,,,,,,,
,CN,0.022108844,0.015873016,0.024376417,0.04138322,0.013038549,0.025510204,0.051020408,0.013605442,0.031179138,0.060657596,0.025510204,0.070294785,0.043650794,0.035714286,0.032879819,0.02324263,0.069160998,0.041950113,0.036848073,0.041950113,0.025510204,0.082199546,0.011904762,0.025510204,0.134920635,,,,,,,,
,CN,0.016480595,0.386496544,0.011164274,0.029771398,0.02764487,0.045188729,0.049441786,0.029239766,0.014885699,0.054226475,0.014885699,0.01754386,0.022860181,0.013290803,0.061669325,0.026049973,0.031897927,0.015948963,0.041467305,0.019670388,0.011164274,0.010632642,0.015948963,0.019670388,0.012759171,,,,,,,,
,CN,0.570413437,0.019379845,0.014211886,0.01744186,0.018087855,0.016795866,0.014857881,0.012919897,0.021317829,0.016149871,0.025839793,0.023255814,0.029715762,0.012919897,0.022609819,0.012919897,0.027777778,0.019379845,0.014857881,0.014211886,0.016795866,0.012273902,0.013565891,0.02002584,0.012273902,,,,,,,,
,CN,0.015,0.019444444,0.010555556,0.302222222,0.023333333,0.066666667,0.015555556,0.010555556,0.015555556,0.152222222,0.01,0.012777778,0.020555556,0.013333333,0.016111111,0.019444444,0.016111111,0.012777778,0.071666667,0.066111111,0.012777778,0.015,0.051111111,0.021111111,0.01,,,,,,,,
,CN,0.079497908,0.048349605,0.024174802,0.193863319,0.041376104,0.114830311,0.009298001,0.026034403,0.020920502,0.050674105,0.041376104,0.018131102,0.012552301,0.060901906,0.026964203,0.036727104,0.010227801,0.026034403,0.021385402,0.051603905,0.014876801,0.013947001,0.026499303,0.018596002,0.011157601,,,,,,,,
